raw_name,standard_name,verification_status,source_url,notes,count
成都某军工企业,成都某军工企业,中,,按原表企业名保留，未命中已知别名库,1
中航工艺红桌,中航工艺红桌,中,,按原表企业名保留，未命中已知别名库,1
施耐德电器,施耐德电器,中,,按原表企业名保留，未命中已知别名库,1
据新科技,据新科技,中,,按原表企业名保留，未命中已知别名库,1
激烈汽车,激烈汽车,中,,按原表企业名保留，未命中已知别名库,1
中化十四建,中化十四建,中,,按原表企业名保留，未命中已知别名库,1
旭阳集团,旭阳集团,中,,按原表企业名保留，未命中已知别名库,1
新疆旗亚集团,新疆旗亚集团,中,,按原表企业名保留，未命中已知别名库,1
中国科学技术大学先进技术研究院,中国科学技术大学先进技术研究院,中,,按原表企业名保留，未命中已知别名库,1
中国科学院过程控制研究所,中国科学院过程控制研究所,中,,按原表企业名保留，未命中已知别名库,1
哈尔滨工程大学水下机器人国家重点实验室,哈尔滨工程大学水下机器人国家重点实验室,中,,按原表企业名保留，未命中已知别名库,1
凯莱英生物技术有限公司,凯莱英生物技术有限公司,中,,按原表企业名保留，未命中已知别名库,1
魏桥国科研究院,魏桥国科研究院,中,,按原表企业名保留，未命中已知别名库,1
明阳集团,明阳集团,中,,按原表企业名保留，未命中已知别名库,1
河南钢铁集团,河南钢铁集团,中,,按原表企业名保留，未命中已知别名库,1
宝钢集团八钢公司,宝钢集团八钢公司,中,,按原表企业名保留，未命中已知别名库,1
湛江钢铁,湛江钢铁,中,,按原表企业名保留，未命中已知别名库,1
百色超原发电有限公司,百色超原发电有限公司,中,,按原表企业名保留，未命中已知别名库,1
商汤科技,商汤科技,中,https://www.sensetime.com/cn,常用名称,2
中泰证券,中泰证券,中,,按原表企业名保留，未命中已知别名库,1
中华才显,中华才显,中,,按原表企业名保留，未命中已知别名库,1
山东某地级市的市政府投资基金公司,山东某地级市的市政府投资基金公司,中,,按原表企业名保留，未命中已知别名库,1
常熟市某中学,常熟市某中学,中,,按原表企业名保留，未命中已知别名库,1
宿迁某中学,宿迁某中学,中,,按原表企业名保留，未命中已知别名库,1
盐城某高中,盐城某高中,中,,按原表企业名保留，未命中已知别名库,1
海尔,海尔,待核实,,企业名过短或匿名化，需人工复核,1
BOE,BOE,待核实,,纯英文或缩写企业名，需人工复核,1
TCL,TCL,待核实,,纯英文或缩写企业名，需人工复核,2
网易湖域,网易湖域,中,,按原表企业名保留，未命中已知别名库,1
游达科技,游达科技,中,,按原表企业名保留，未命中已知别名库,1
四三九九游戏公司,四三九九游戏公司,中,,按原表企业名保留，未命中已知别名库,1
金修有限公司,金修有限公司,中,,按原表企业名保留，未命中已知别名库,1
丁和而泰,丁和而泰,中,,按原表企业名保留，未命中已知别名库,1
